data_hora,temperatura,sensacao_termica,umidade,chuva_mm,prob_chuva,nuvens,vento_kmh,vento_direcao,pressao,indice_uv
2026-09-21 00:00:00,18.6,19.8,85,0.0,71,100,5.4,358,1017.1,0.0
2026-09-21 01:00:00,18.6,19.7,84,0.1,67,89,6.3,18,1016.1,0.0
2026-09-21 02:00:00,18.3,18.7,85,0.0,65,39,10.5,27,1015.1,0.0
2026-09-21 03:00:00,18.5,18.9,85,0.0,59,95,10.6,15,1015.1,0.0
2026-09-21 04:00:00,18.6,19.0,83,0.0,43,87,9.9,9,1014.7,0.0
2026-09-21 05:00:00,18.7,18.8,81,0.0,22,44,12.2,17,1014.3,0.0
2026-09-21 06:00:00,18.6,19.0,82,0.0,8,13,10.1,22,1015.0,0.0
2026-09-21 07:00:00,19.5,20.0,80,0.0,7,15,10.7,30,1015.8,0.35
2026-09-21 08:00:00,21.3,22.5,76,0.0,13,10,8.6,39,1016.1,1.8
2026-09-21 09:00:00,23.7,24.6,67,0.0,16,71,10.9,12,1015.9,3.75
2026-09-21 10:00:00,25.7,26.5,57,0.0,12,16,14.6,1,1014.9,5.8
2026-09-21 11:00:00,27.4,28.2,50,0.0,6,39,18.6,356,1013.6,7.3
2026-09-21 12:00:00,28.1,28.3,46,0.0,2,12,22.1,348,1012.8,8.15
2026-09-21 13:00:00,28.5,28.6,45,0.0,1,8,22.6,348,1011.8,8.15
2026-09-21 14:00:00,28.3,29.0,50,0.0,2,25,20.5,347,1011.4,7.3
2026-09-21 15:00:00,27.8,28.0,50,0.0,6,71,17.4,352,1011.1,5.8
2026-09-21 16:00:00,24.8,24.7,62,0.1,14,52,18.0,358,1011.8,3.8
2026-09-21 17:00:00,24.4,25.7,69,0.0,24,43,11.5,356,1011.9,1.8
2026-09-21 18:00:00,24.1,24.9,69,0.0,33,18,14.6,359,1012.2,0.35
2026-09-21 19:00:00,23.2,23.6,69,0.0,39,9,14.5,348,1012.3,0.0
2026-09-21 20:00:00,22.6,22.7,68,0.0,43,5,14.7,341,1013.4,0.0
2026-09-21 21:00:00,22.3,22.1,68,0.0,45,37,15.5,342,1013.7,0.0
2026-09-21 22:00:00,22.0,21.8,68,0.0,42,75,14.8,342,1013.9,0.0
2026-09-21 23:00:00,21.4,21.4,71,0.0,36,83,13.7,341,1014.0,0.0
2026-09-22 00:00:00,21.2,21.3,71,0.0,31,70,12.5,339,1012.7,0.0
2026-09-22 01:00:00,20.9,21.3,71,0.0,27,56,9.6,332,1012.4,0.0
2026-09-22 02:00:00,20.7,22.1,72,0.0,24,97,2.9,274,1011.7,0.0
2026-09-22 03:00:00,20.9,21.0,71,0.0,24,90,11.7,343,1010.9,0.0
